Score,Steps
550.0,875
300.0,551
540.0,718
220.0,634
390.0,666
480.0,941
400.0,855
390.0,690
350.0,746
650.0,1004
1090.0,1001
200.0,598
120.0,567
160.0,532
290.0,580
100.0,539
720.0,1023
280.0,742
170.0,536
310.0,840
660.0,991
310.0,605
370.0,610
250.0,581
160.0,590
190.0,562
310.0,560
210.0,634
440.0,830
350.0,760
