Score,Steps
60.0,635
60.0,642
60.0,649
60.0,649
60.0,646
60.0,632
60.0,642
60.0,638
60.0,658
60.0,640
60.0,643
60.0,648
60.0,643
60.0,647
60.0,654
60.0,639
60.0,637
60.0,637
60.0,651
60.0,642
60.0,644
60.0,655
60.0,631
60.0,640
60.0,648
60.0,658
60.0,646
60.0,639
60.0,646
60.0,639
