Score,Steps
230.0,571
200.0,598
570.0,888
250.0,718
180.0,601
170.0,646
180.0,649
260.0,663
310.0,705
150.0,513
230.0,758
200.0,651
330.0,728
210.0,682
330.0,692
180.0,631
150.0,531
190.0,560
240.0,743
210.0,752
100.0,564
200.0,641
280.0,779
290.0,655
200.0,692
170.0,552
220.0,643
140.0,576
270.0,641
250.0,817
